,symbol,display_symbol,name,aliases,shortname,last_price_usd,market_cap_rank,volume_rank,price_change_1H_percent,price_change_1D_percent,price_change_7D_percent,price_change_30D_percent,price_change_90D_percent,price_change_180D_percent,price_change_365D_percent,price_change_3Y_percent,price_change_5Y_percent,price_change_ALL_percent,price_change_YTD_percent,volume_24_usd,display,trading_since,supply,last_update,ico_end,include_supply,use_volume,growth_all_time,ccu_slug,image_hash,market_cap_usd,categories
9936,XLA2,XLA,Ripple Alpha,,ripple-alpha,0.000240103996475,,,0.0,0.0,0.0,0.0,0.0,0.0,-89.51,,,,0.0,0.0,true,2020-07-21 10:25:00,,1611104821,,true,true,1970-01-01,ripple-alpha,,0.0,[]
9937,XLPG,XLPG,StellarPayGlobal,,stellarpayglobal,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,not_trading,,,1585837265,,true,true,,stellarpayglobal,,0.0,[]
9938,XMAS,XMAS,XMAS,,xmas,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,not_trading,,13442287.0,1546965192,2018-12-24 22:00:00,true,true,,xmas,,0.0,[20]
9939,XMN2,XMN,Xmoneta,,xmoneta,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,not_trading,,,1538401074,2018-12-31 23:59:00,true,true,,xmoneta,,0.0,[]
9940,XMRG,XMRG,Monero Gold,,monero-gold,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,not_trading_anymore,2018-02-02 03:19:29,,1551258818,,true,true,,monero-gold,,0.0,[]
9941,XNC2,XNC,EXNCE,,exnce,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,not_trading,,,1584098597,,true,true,,exnce,,0.0,[15]
9942,XNFT,XNFT,xNFT Protocol,,xnft-protocol,0.09248143809598601,,1386.0,0.0,-6.03,-42.65,-63.56,-66.71,-66.71,-66.71,-66.71,-66.71,-67.42,-66.71,92617.0,true,2021-08-01 16:00:00,,1632745666,,true,true,,xnft-protocol,,0.0,[]
9943,XPLL,XPLL,ParallelChain Token,,parallelchain-token,,,,0.0,0.0,0.0,,,,,,,,,0.0,not_trading,,,1630922898,,true,true,,parallelchain-token,,0.0,[15]
9944,XRBT,XRBT,Xtribe,,xtribe,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,not_trading,,,1535551327,2018-09-09 23:59:00,true,true,,xtribe,,0.0,[]
9945,XRC3,XRC,AMARK,,amark,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,not_trading,,,1551783622,2019-12-31 15:00:00,true,true,,amark,,0.0,[15]
9946,XRD2,XRD,Radix,,radix,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,not_trading,,734834633.0,1560959248,2020-11-10 16:00:00,true,true,,radix,,0.0,[15]
9947,XRM2,XRM,Refine Medium,,refine-medium,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,not_trading,,,1561628195,2019-07-12 17:00:00,true,true,,refine-medium,,0.0,[15]
9948,XSCR,XSCR,SECURUS,,securus,0.035128797756809,,,0.0,0.0,-36.79,-36.79,2.2800000000000002,775.4,6697.58,744.21,744.21,679.77,69.0,0.0,true,2020-02-25 13:20:00,,1632167765,,true,true,1970-01-01,securus,,0.0,[]
